epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,19467.2,1.50831,0.87044,0.95347,0.79286,0.65321,0.75586,0.43759,1.42932,0.80501,0.93794,0.00586675,0.00586675,0.00586675
169,19577.9,1.5071,0.86905,0.9534,0.79298,0.65277,0.75554,0.43707,1.43079,0.8056,0.93823,0.005842,0.005842,0.005842
170,19689,1.50924,0.8707,0.95389,0.79275,0.65321,0.75563,0.43729,1.43034,0.80543,0.93822,0.00581725,0.00581725,0.00581725
171,19798.4,1.51054,0.87042,0.9538,0.79261,0.65309,0.75557,0.43733,1.43045,0.80559,0.93831,0.0057925,0.0057925,0.0057925
172,19907.3,1.50888,0.87097,0.95361,0.79277,0.65303,0.75569,0.43764,1.42967,0.80534,0.93824,0.00576775,0.00576775,0.00576775
173,20021.3,1.50669,0.86894,0.95356,0.79308,0.65294,0.75573,0.4377,1.4297,0.80535,0.93836,0.005743,0.005743,0.005743
174,20135.6,1.50943,0.87021,0.95373,0.79348,0.65284,0.75578,0.43816,1.42877,0.80509,0.93838,0.00571825,0.00571825,0.00571825
175,20253.3,1.50713,0.86935,0.95375,0.79369,0.6524,0.75542,0.437,1.431,0.80542,0.93851,0.0056935,0.0056935,0.0056935
176,20362.4,1.50704,0.86888,0.95262,0.79314,0.65246,0.75511,0.43638,1.43239,0.80611,0.93854,0.00566875,0.00566875,0.00566875
177,20471.6,1.50793,0.86859,0.95266,0.79309,0.65262,0.75521,0.43617,1.43251,0.80587,0.9384,0.005644,0.005644,0.005644
178,20586.5,1.50608,0.86777,0.95295,0.79361,0.65253,0.75542,0.43653,1.43175,0.80563,0.93839,0.00561925,0.00561925,0.00561925
179,20706.3,1.50766,0.86839,0.95292,0.79339,0.65244,0.75525,0.436,1.43254,0.80562,0.93831,0.0055945,0.0055945,0.0055945
180,20820.3,1.50662,0.86901,0.95347,0.79363,0.65213,0.75525,0.43603,1.43225,0.80553,0.9383,0.00556975,0.00556975,0.00556975
181,20931.4,1.50819,0.86975,0.9534,0.79387,0.65227,0.75549,0.43648,1.43119,0.80525,0.93817,0.005545,0.005545,0.005545
